,LOCATION,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Belgium,Center,1.7,2.4,3.1,3.7,4.6,6.2,7.3,9,11.3,12.5,13.4,15.6,15.8,17.2,18.9,20.8,25.1
Bulgaria,South,8.4,8.7,8.7,8.9,9.5,10.9,12.4,12.6,15.8,18.7,18.7,19,19.1,19,22.4,23.5,23.6
Czechia,Center,3.7,3.8,4.1,4.6,5.2,6.4,7.5,10.6,11.7,12.8,13.9,14.1,13.6,13.7,13.7,14,14.8
Denmark,North,23.8,24.6,24,25,25.9,28.3,32.7,35.9,38.7,43.1,48.5,51.3,53.7,59.9,62.4,65.3,65.3
Germany,Center,9.4,10.6,11.9,13.7,15.1,17.5,18.2,20.9,23.6,25.3,28.2,30.9,32.3,34.6,37.6,40.6,44.7
Estonia,North,0.5,1.1,1.4,1.4,2,6,10.3,12.2,15.7,12.9,14,16.2,16.2,17.6,19.7,22,29.2
Ireland,North,6,7.2,8.5,9.5,10.8,14.1,15.6,18.3,19.8,21,23.3,25.7,27.1,30.3,33.3,36.5,39.1
Greece,South,7.8,8.2,8.9,9.3,9.6,11,12.3,13.8,16.4,21.2,21.9,22.1,22.7,24.5,26,31.3,35.9
Spain,South,19,19.2,20,21.7,23.8,27.9,29.7,31.5,33.4,36,37.1,37,36.7,36.5,35.2,37.1,42.9
France,Center,13.8,13.7,14.1,14.3,14.4,15.1,14.8,16.2,16.5,17,18.5,18.8,19.2,19.9,21.1,22.4,24.8
Croatia,South,35,35.2,34.8,34,33.9,35.9,37.5,37.6,38.8,42.1,45.2,45.4,46.7,46.4,48.1,49.8,53.8
Italy,South,16.1,16.3,15.9,16,16.6,18.8,20.1,23.5,27.4,31.3,33.4,33.5,34,34.1,33.9,35,38.1
Cyprus,South,0,0,0,0.1,0.3,0.6,1.4,3.4,4.9,6.7,7.4,8.4,8.6,8.9,9.4,9.8,12
Latvia,North,46,43,40.4,38.6,38.7,41.9,42.1,44.7,44.9,48.7,51,52.2,51.3,54.4,53.5,53.4,53.4
Lithuania,North,3.6,3.8,4,4.7,4.9,5.9,7.4,9,10.9,13.1,13.7,15.5,16.9,18.3,18.4,18.8,20.2
Luxembourg,Center,2.8,3.2,3.2,3.3,3.6,4.1,3.8,4.1,4.7,5.3,6,6.2,6.7,8.1,9.1,10.9,13.9
Hungary,Center,2.2,4.4,3.5,4.2,5.3,7,7.1,6.4,6.1,6.6,7.3,7.3,7.3,7.5,8.3,10,11.9
Malta,South,0,0,0,0,0,0,0,0.5,1.1,1.6,3.3,4.3,5.7,6.8,7.7,7.5,9.5
Netherlands,North,4.4,6.3,6.5,6,7.5,9.1,9.6,9.7,10.4,9.9,9.9,11,12.6,13.8,15.2,18.2,26.4
Austria,Center,61.6,62.9,63.5,65.7,65.9,68.6,66.4,66.8,67.4,68.9,71.1,71.5,72.5,71.6,74.2,75.1,78.2
Poland,Center,2,2.5,2.9,3.3,4.2,5.7,6.5,8.1,10.6,10.7,12.4,13.4,13.3,13.1,13,14.4,16.2
Portugal,South,27.4,27.7,29.3,32.3,34.1,37.6,40.6,45.8,47.5,49.1,52.1,52.6,54,54.2,52.2,53.8,58
Romania,South,28.4,28.8,28.1,28.1,28.1,30.9,30.4,31.1,33.6,37.5,41.7,43.2,42.7,42,41.8,42.6,43.4
Slovenia,South,29.3,28.7,28.2,27.7,30,33.8,32.2,31,31.6,33.1,33.9,32.7,32.1,32.4,32.3,32.6,35.1
Slovakia,Center,15.4,15.7,16.6,16.5,17,17.8,17.8,19.3,20.1,20.8,22.9,22.7,22.5,21.3,21.5,22.1,23.1
Finland,North,26.7,26.9,26.4,25.5,26.7,26.8,27.2,29,29.1,30.5,31.1,32.2,32.7,35,36.5,38,39.6
Sweden,North,51.2,50.9,51.8,53.2,53.7,58.3,55.8,59.6,59.8,61.7,63.2,65.7,64.9,65.9,66.2,71.2,74.5
