Entity,Code,Year,Life satisfaction in Cantril Ladder (World Happiness Report 2021)
Albania,ALB,2020,5.365
Argentina,ARG,2020,5.901
Australia,AUS,2020,7.137
Austria,AUT,2020,7.213
Bahrain,BHR,2020,6.173
Bangladesh,BGD,2020,5.28
Belgium,BEL,2020,6.839
Benin,BEN,2020,4.408
Bolivia,BOL,2020,5.559
Bosnia and Herzegovina,BIH,2020,5.516
Brazil,BRA,2020,6.11
Bulgaria,BGR,2020,5.598
Cambodia,KHM,2020,4.377
Cameroon,CMR,2020,5.241
Canada,CAN,2020,7.025
Chile,CHL,2020,6.151
China,CHN,2020,5.771
Colombia,COL,2020,5.709
Cote d'Ivoire,CIV,2020,5.257
Croatia,HRV,2020,6.508
Cyprus,CYP,2020,6.26
Czechia,CZE,2020,6.897
Denmark,DNK,2020,7.515
Dominican Republic,DOM,2020,5.168
Ecuador,ECU,2020,5.354
Egypt,EGY,2020,4.472
El Salvador,SLV,2020,5.462
Estonia,EST,2020,6.453
Ethiopia,ETH,2020,4.549
Finland,FIN,2020,7.889
France,FRA,2020,6.714
Georgia,GEO,2020,5.123
Germany,DEU,2020,7.312
Ghana,GHA,2020,5.319
Greece,GRC,2020,5.788
Hong Kong,HKG,2020,5.295
Hungary,HUN,2020,6.038
Iceland,ISL,2020,7.575
India,IND,2020,4.225
Iran,IRN,2020,4.865
Iraq,IRQ,2020,4.785
Ireland,IRL,2020,7.035
Israel,ISR,2020,7.195
Italy,ITA,2020,6.488
Japan,JPN,2020,6.118
Jordan,JOR,2020,4.094
Kazakhstan,KAZ,2020,6.168
Kenya,KEN,2020,4.547
Kosovo,OWID_KOS,2020,6.294
Kyrgyzstan,KGZ,2020,6.25
Laos,LAO,2020,5.284
Latvia,LVA,2020,6.229
Lithuania,LTU,2020,6.391
Malta,MLT,2020,6.157
Mauritius,MUS,2020,6.015
Mexico,MEX,2020,5.964
Moldova,MDA,2020,5.812
Mongolia,MNG,2020,6.011
Montenegro,MNE,2020,5.722
Morocco,MAR,2020,4.803
Myanmar,MMR,2020,4.431
Namibia,NAM,2020,4.451
Netherlands,NLD,2020,7.504
New Zealand,NZL,2020,7.257
Nigeria,NGA,2020,5.503
North Macedonia,MKD,2020,5.054
Norway,NOR,2020,7.29
Philippines,PHL,2020,5.08
Poland,POL,2020,6.139
Portugal,PRT,2020,5.768
Russia,RUS,2020,5.495
Saudi Arabia,SAU,2020,6.56
Serbia,SRB,2020,6.042
Slovakia,SVK,2020,6.519
Slovenia,SVN,2020,6.462
South Africa,ZAF,2020,4.947
South Korea,KOR,2020,5.793
Spain,ESP,2020,6.502
Sweden,SWE,2020,7.314
Switzerland,CHE,2020,7.508
Taiwan,TWN,2020,6.751
Tajikistan,TJK,2020,5.373
Tanzania,TZA,2020,3.786
Thailand,THA,2020,5.885
Tunisia,TUN,2020,4.731
Turkey,TUR,2020,4.862
Uganda,UGA,2020,4.641
Ukraine,UKR,2020,5.27
United Arab Emirates,ARE,2020,6.458
United Kingdom,GBR,2020,6.798
United States,USA,2020,7.028
Uruguay,URY,2020,6.31
Venezuela,VEN,2020,4.574
Zambia,ZMB,2020,4.838
Zimbabwe,ZWE,2020,3.16
